count,loop start,loop end,loop end -loop start,next start-curr start,next end -curr end,,,,Average,,
1,1618926109,1618926109,0.038889885,0.038889885,0.063840151,,,,loop end -loop start,next start-curr start,next end -curr end
2,1618926109,1618926109,0.063840151,0.063840151,0.04535985,,,time,0.040511833,0.040513201,0.040506375
3,1618926109,1618926109,0.04535985,0.04535985,0.046869993,,,frequency,24.68414608,24.68331245,24.68747204
4,1618926109,1618926109,0.046869993,0.046869993,0.036900043,,,,,,
5,1618926109,1618926109,0.036900043,0.036900043,0.036900043,,,,,,
6,1618926109,1618926110,0.036900043,0.036900043,0.047869921,,,,,,
7,1618926110,1618926110,0.047869921,0.047869921,0.042900085,,,,,,
8,1618926110,1618926110,0.042900085,0.042900085,0.037889957,,,,,,
9,1618926110,1618926110,0.037889957,0.037889957,0.036900043,,,,,,
10,1618926110,1618926110,0.036900043,0.036900043,0.037899971,,,,,,
11,1618926110,1618926110,0.037899971,0.037899971,0.037899971,,,,,,
12,1618926110,1618926110,0.037899971,0.037899971,0.038890123,,,,,,
13,1618926110,1618926110,0.038890123,0.038890123,0.05885005,,,,,,
14,1618926110,1618926110,0.05885005,0.05885005,0.054849863,,,,,,
15,1618926110,1618926110,0.054849863,0.054849863,0.040889978,,,,,,
16,1618926110,1618926110,0.040889978,0.040889978,0.042880058,,,,,,
17,1618926110,1618926110,0.042880058,0.042880058,0.041889906,,,,,,
18,1618926110,1618926110,0.041889906,0.041889906,0.051860094,,,,,,
19,1618926110,1618926110,0.051860094,0.051860094,0.039900064,,,,,,
20,1618926110,1618926110,0.039900064,0.039900064,0.040889978,,,,,,
21,1618926110,1618926110,0.040889978,0.040889978,0.055850029,,,,,,
22,1618926110,1618926110,0.055850029,0.055850029,0.046869993,,,,,,
23,1618926110,1618926110,0.046869993,0.046869993,0.043889999,,,,,,
24,1618926110,1618926110,0.043889999,0.043889999,0.039890051,,,,,,
25,1618926110,1618926110,0.039890051,0.039890051,0.041889906,,,,,,
26,1618926110,1618926110,0.041889906,0.041889906,0.03489995,,,,,,
27,1618926110,1618926110,0.03489995,0.03489995,0.036900043,,,,,,
28,1618926110,1618926110,0.036900043,0.036900043,0.03760004,,,,,,
29,1618926110,1618926110,0.03760004,0.03760004,0.044889927,,,,,,
30,1618926110,1618926111,0.044889927,0.044889927,0.045870066,,,,,,
31,1618926111,1618926111,0.045870066,0.045870066,0.037899971,,,,,,
32,1618926111,1618926111,0.037899971,0.037899971,0.034909964,,,,,,
33,1618926111,1618926111,0.034909964,0.034909964,0.036900043,,,,,,
34,1618926111,1618926111,0.036900043,0.036900043,0.035909891,,,,,,
35,1618926111,1618926111,0.035909891,0.035909891,0.035900116,,,,,,
36,1618926111,1618926111,0.035900116,0.035900116,0.044879913,,,,,,
37,1618926111,1618926111,0.044879913,0.044879913,0.040889978,,,,,,
38,1618926111,1618926111,0.040889978,0.040889978,0.038890123,,,,,,
39,1618926111,1618926111,0.038890123,0.038890123,0.036910057,,,,,,
40,1618926111,1618926111,0.036910057,0.036910057,0.035899878,,,,,,
41,1618926111,1618926111,0.035899878,0.035899878,0.037899971,,,,,,
42,1618926111,1618926111,0.037899971,0.037899971,0.039890051,,,,,,
43,1618926111,1618926111,0.039890051,0.039890051,0.055860043,,,,,,
44,1618926111,1618926111,0.055860043,0.055860043,0.045870066,,,,,,
45,1618926111,1618926111,0.045870066,0.045870066,0.044879913,,,,,,
46,1618926111,1618926111,0.044879913,0.044879913,0.041889906,,,,,,
47,1618926111,1618926111,0.041889906,0.041889906,0.038890123,,,,,,
48,1618926111,1618926111,0.038890123,0.038890123,0.038899899,,,,,,
49,1618926111,1618926111,0.038899899,0.038899899,0.057840109,,,,,,
50,1618926111,1618926111,0.057840109,0.057840109,0.040889978,,,,,,
51,1618926111,1618926111,0.040889978,0.040889978,0.035909891,,,,,,
52,1618926111,1618926111,0.035909891,0.035909891,0.036910057,,,,,,
53,1618926111,1618926111,0.036910057,0.036910057,0.035890102,,,,,,
54,1618926111,1618926112,0.035890102,0.035890102,0.038909912,,,,,,
55,1618926112,1618926112,0.038909912,0.038909912,0.04685998,,,,,,
56,1618926112,1618926112,0.04685998,0.04685998,0.037899971,,,,,,
57,1618926112,1618926112,0.037899971,0.037899971,0.040889978,,,,,,
58,1618926112,1618926112,0.040889978,0.040889978,0.039950132,,,,,,
59,1618926112,1618926112,0.039950132,0.039950132,0.035909891,,,,,,
60,1618926112,1618926112,0.035909891,0.035909891,0.037889957,,,,,,
61,1618926112,1618926112,0.037889957,0.037889957,0.05637002,,,,,,
62,1618926112,1618926112,0.05637002,0.05637002,0.041880131,,,,,,
63,1618926112,1618926112,0.041880131,0.041880131,0.041129827,,,,,,
64,1618926112,1618926112,0.041129827,0.041129827,0.03591013,,,,,,
65,1618926112,1618926112,0.03591013,0.03591013,0.040879965,,,,,,
66,1618926112,1618926112,0.040879965,0.040879965,0.036000013,,,,,,
67,1618926112,1618926112,0.036000013,0.036000013,0.044879913,,,,,,
68,1618926112,1618926112,0.044879913,0.044879913,0.041890144,,,,,,
69,1618926112,1618926112,0.041890144,0.041890144,0.039890051,,,,,,
70,1618926112,1618926112,0.039890051,0.039890051,0.03489995,,,,,,
71,1618926112,1618926112,0.03489995,0.03489995,0.037689924,,,,,,
72,1618926112,1618926112,0.037689924,0.037689924,0.037899971,,,,,,
73,1618926112,1618926112,0.037899971,0.037899971,0.041880131,,,,,,
74,1618926112,1618926112,0.041880131,0.041880131,0.048869848,,,,,,
75,1618926112,1618926112,0.048869848,0.048869848,0.032910109,,,,,,
76,1618926112,1618926112,0.032910109,0.032910109,0.033910036,,,,,,
77,1618926112,1618926112,0.033910036,0.033910036,0.032919884,,,,,,
78,1618926112,1618926112,0.032919884,0.032919884,0.03489995,,,,,,
79,1618926112,1618926113,0.03489995,0.03489995,0.036650181,,,,,,
80,1618926113,1618926113,0.036650181,0.036650181,0.047869921,,,,,,
81,1618926113,1618926113,0.047869921,0.047869921,0.034909964,,,,,,
82,1618926113,1618926113,0.034909964,0.034909964,0.035900116,,,,,,
83,1618926113,1618926113,0.035900116,0.035900116,0.035899878,,,,,,
84,1618926113,1618926113,0.035899878,0.035899878,0.035099983,,,,,,
85,1618926113,1618926113,0.035099983,0.035099983,0.038890123,,,,,,
86,1618926113,1618926113,0.038890123,0.038890123,0.034909964,,,,,,
87,1618926113,1618926113,0.034909964,0.034909964,0.049390078,,,,,,
88,1618926113,1618926113,0.049390078,0.049390078,0.034909964,,,,,,
89,1618926113,1618926113,0.034909964,0.034909964,0.03606987,,,,,,
90,1618926113,1618926113,0.03606987,0.03606987,0.034909964,,,,,,
91,1618926113,1618926113,0.034909964,0.034909964,0.034900188,,,,,,
92,1618926113,1618926113,0.034900188,0.034900188,0.035429955,,,,,,
93,1618926113,1618926113,0.035429955,0.035429955,0.048869848,,,,,,
94,1618926113,1618926113,0.048869848,0.048869848,0.045870066,,,,,,
95,1618926113,1618926113,0.045870066,0.045870066,0.037899971,,,,,,
96,1618926113,1618926113,0.037899971,0.037899971,0.034909964,,,,,,
97,1618926113,1618926113,0.034909964,0.034909964,0.036900043,,,,,,
98,1618926113,1618926113,0.036900043,0.036900043,0.036900043,,,,,,
99,1618926113,1618926113,0.036900043,0.036900043,0.038909912,,,,,,
100,1618926113,1618926113,0.038909912,0.038909912,0.048870087,,,,,,
101,1618926113,1618926113,0.048870087,0.048870087,0.033910036,,,,,,
102,1618926113,1618926113,0.033910036,0.033910036,0.033910036,,,,,,
103,1618926113,1618926113,0.033910036,0.033910036,0.034909964,,,,,,
104,1618926113,1618926113,0.034909964,0.034909964,0.033910036,,,,,,
105,1618926113,1618926113,0.033910036,0.033910036,0.036900043,,,,,,
106,1618926113,1618926114,0.036900043,0.036900043,0.052859783,,,,,,
107,1618926114,1618926114,0.052859783,0.052859783,0.033910036,,,,,,
108,1618926114,1618926114,0.033910036,0.033910036,0.034900188,,,,,,
109,1618926114,1618926114,0.034900188,0.034900188,0.036899805,,,,,,
110,1618926114,1618926114,0.036899805,0.036899805,0.033910036,,,,,,
111,1618926114,1618926114,0.033910036,0.033910036,0.036910057,,,,,,
112,1618926114,1618926114,0.036910057,0.036910057,0.03489995,,,,,,
113,1618926114,1618926114,0.03489995,0.03489995,0.046869993,,,,,,
114,1618926114,1618926114,0.046869993,0.046869993,0.047879934,,,,,,
115,1618926114,1618926114,0.047879934,0.047879934,0.040280104,,,,,,
116,1618926114,1618926114,0.040280104,0.040280104,0.034909964,,,,,,
117,1618926114,1618926114,0.034909964,0.034909964,0.036900043,,,,,,
118,1618926114,1618926114,0.036900043,0.036900043,0.033910036,,,,,,
119,1618926114,1618926114,0.033910036,0.033910036,0.044879913,,,,,,
120,1618926114,1618926114,0.044879913,0.044879913,0.037899971,,,,,,
121,1618926114,1618926114,0.037899971,0.037899971,0.039510012,,,,,,
122,1618926114,1618926114,0.039510012,0.039510012,0.036900043,,,,,,
123,1618926114,1618926114,0.036900043,0.036900043,0.034909964,,,,,,
124,1618926114,1618926114,0.034909964,0.034909964,0.036900043,,,,,,
125,1618926114,1618926114,0.036900043,0.036900043,0.032910109,,,,,,
126,1618926114,1618926114,0.032910109,0.032910109,0.041889906,,,,,,
