count,loop start,loop end,loop end -loop start,next start-curr start,next end -curr end,,,,Average,,
1,1618926109,1618926109,0,0.01196003,0.012959957,,,,loop end -loop start,next start-curr start,next end -curr end
2,1618926109,1618926109,0.000999928,0.00797987,0.006979942,,,time,0.000114243,0.013034546,0.013034546
3,1618926109,1618926109,0,0.010010004,0.010010004,,,frequency,8753.309375,76.7192018,76.7192018
4,1618926109,1618926109,0,0.01493001,0.01493001,,,,,,
5,1618926109,1618926109,0,0.016960144,0.016960144,,,,,,
6,1618926109,1618926109,0,0.012959957,0.012959957,,,,,,
7,1618926109,1618926109,0,0.013959885,0.013959885,,,,,,
8,1618926109,1618926109,0,0.017950058,0.017950058,,,,,,
9,1618926109,1618926109,0,0.021950006,0.021950006,,,,,,
10,1618926109,1618926109,0,0.020940065,0.020940065,,,,,,
11,1618926109,1618926109,0,0.023929834,0.02493,,,,,,
12,1618926109,1618926109,0.001000166,0.014960051,0.013959885,,,,,,
13,1618926109,1618926109,0,0.013970137,0.013970137,,,,,,
14,1618926109,1618926109,0,0.01244998,0.01244998,,,,,,
15,1618926109,1618926109,0,0.015949965,0.015949965,,,,,,
16,1618926109,1618926109,0,0.015959978,0.015959978,,,,,,
17,1618926109,1618926109,0,0.010969877,0.010969877,,,,,,
18,1618926109,1618926109,0,0.012970209,0.012970209,,,,,,
19,1618926109,1618926109,0,0.011969805,0.011969805,,,,,,
20,1618926109,1618926109,0,0.012960196,0.012960196,,,,,,
21,1618926109,1618926109,0,0.010969877,0.010969877,,,,,,
22,1618926109,1618926109,0,0.012969971,0.012969971,,,,,,
23,1618926109,1618926109,0,0.012959957,0.012959957,,,,,,
24,1618926110,1618926110,0,0.013970137,0.014970064,,,,,,
25,1618926110,1618926110,0.000999928,0.023929834,0.022929907,,,,,,
26,1618926110,1618926110,0,0.020950079,0.020950079,,,,,,
27,1618926110,1618926110,0,0.011970043,0.011970043,,,,,,
28,1618926110,1618926110,0,0.00996995,0.010969877,,,,,,
29,1618926110,1618926110,0.000999928,0.010970116,0.009970188,,,,,,
30,1618926110,1618926110,0,0.011969805,0.011969805,,,,,,
31,1618926110,1618926110,0,0.012960196,0.012960196,,,,,,
32,1618926110,1618926110,0,0.011969805,0.011969805,,,,,,
33,1618926110,1618926110,0,0.011970043,0.011970043,,,,,,
34,1618926110,1618926110,0,0.012959957,0.012959957,,,,,,
35,1618926110,1618926110,0,0.012970209,0.012970209,,,,,,
36,1618926110,1618926110,0,0.012969971,0.012969971,,,,,,
37,1618926110,1618926110,0,0.010959864,0.010959864,,,,,,
38,1618926110,1618926110,0,0.011970043,0.012969971,,,,,,
39,1618926110,1618926110,0.000999928,0.011970043,0.010970116,,,,,,
40,1618926110,1618926110,0,0.014960051,0.014960051,,,,,,
41,1618926110,1618926110,0,0.010969877,0.010969877,,,,,,
42,1618926110,1618926110,0,0.012969971,0.012969971,,,,,,
43,1618926110,1618926110,0,0.028920174,0.029920101,,,,,,
44,1618926110,1618926110,0.000999928,0.023939848,0.02293992,,,,,,
45,1618926110,1618926110,0,0.013960123,0.013960123,,,,,,
46,1618926110,1618926110,0,0.021939993,0.021939993,,,,,,
47,1618926110,1618926110,0,0.013959885,0.013959885,,,,,,
48,1618926110,1618926110,0,0.012969971,0.013960123,,,,,,
49,1618926110,1618926110,0.000990152,0.01196003,0.011970043,,,,,,
50,1618926110,1618926110,0.001000166,0.013970137,0.013969898,,,,,,
51,1618926110,1618926110,0.000999928,0.01196003,0.010960102,,,,,,
52,1618926110,1618926110,0,0.013969898,0.013969898,,,,,,
53,1618926110,1618926110,0,0.013959885,0.013959885,,,,,,
54,1618926110,1618926110,0,0.014960051,0.014960051,,,,,,
55,1618926110,1618926110,0,0.015959978,0.015959978,,,,,,
56,1618926110,1618926110,0,0.013960123,0.013960123,,,,,,
57,1618926110,1618926110,0,0.010969877,0.010969877,,,,,,
58,1618926110,1618926110,0,0.012969971,0.013960123,,,,,,
59,1618926110,1618926110,0.000990152,0.018950224,0.017960072,,,,,,
60,1618926110,1618926110,0,0.02493,0.02493,,,,,,
61,1618926110,1618926110,0,0.010969877,0.010969877,,,,,,
62,1618926110,1618926110,0,0.012969971,0.012969971,,,,,,
63,1618926110,1618926110,0,0.012959957,0.012959957,,,,,,
64,1618926110,1618926110,0,0.013960123,0.013960123,,,,,,
65,1618926110,1618926110,0,0.014960051,0.014960051,,,,,,
66,1618926110,1618926110,0,0.011969805,0.012969971,,,,,,
67,1618926110,1618926110,0.001000166,0.012970209,0.012959957,,,,,,
68,1618926110,1618926110,0.000989914,0.013959885,0.012969971,,,,,,
69,1618926110,1618926110,0,0.026930094,0.026930094,,,,,,
70,1618926110,1618926110,0,0.02493,0.02493,,,,,,
71,1618926110,1618926110,0,0.013959885,0.013959885,,,,,,
72,1618926110,1618926110,0,0.013970137,0.013970137,,,,,,
73,1618926110,1618926110,0,0.00996995,0.00996995,,,,,,
74,1618926110,1618926110,0,0.012959957,0.013959885,,,,,,
75,1618926110,1618926110,0.000999928,0.021950006,0.020950079,,,,,,
76,1618926110,1618926110,0,0.032919884,0.032919884,,,,,,
77,1618926110,1618926110,0,0.025920153,0.025920153,,,,,,
78,1618926110,1618926110,0,0.010969877,0.011970043,,,,,,
79,1618926110,1618926110,0.001000166,0.010970116,0.00996995,,,,,,
80,1618926110,1618926110,0,0.00996995,0.00996995,,,,,,
81,1618926110,1618926110,0,0.012969971,0.012969971,,,,,,
82,1618926110,1618926110,0,0.011970043,0.011970043,,,,,,
83,1618926110,1618926110,0,0.010969877,0.010969877,,,,,,
84,1618926110,1618926110,0,0.01196003,0.01196003,,,,,,
85,1618926110,1618926110,0,0.012979984,0.012979984,,,,,,
86,1618926110,1618926110,0,0.010960102,0.010960102,,,,,,
87,1618926110,1618926110,0,0.011970043,0.011970043,,,,,,
88,1618926110,1618926110,0,0.013959885,0.013959885,,,,,,
89,1618926110,1618926110,0,0.012969971,0.012969971,,,,,,
90,1618926110,1618926110,0,0.011670113,0.011670113,,,,,,
91,1618926110,1618926110,0,0.012959957,0.012959957,,,,,,
92,1618926111,1618926111,0,0.016960144,0.016960144,,,,,,
93,1618926111,1618926111,0,0.02493,0.02493,,,,,,
94,1618926111,1618926111,0,0.00996995,0.00996995,,,,,,
95,1618926111,1618926111,0,0.012969971,0.012969971,,,,,,
96,1618926111,1618926111,0,0.012959957,0.012959957,,,,,,
97,1618926111,1618926111,0,0.010970116,0.010970116,,,,,,
98,1618926111,1618926111,0,0.012969971,0.012969971,,,,,,
99,1618926111,1618926111,0,0.011970043,0.011970043,,,,,,
100,1618926111,1618926111,0,0.012959957,0.012959957,,,,,,
101,1618926111,1618926111,0,0.010969877,0.010969877,,,,,,
102,1618926111,1618926111,0,0.011970043,0.011970043,,,,,,
103,1618926111,1618926111,0,0.012969971,0.012969971,,,,,,
104,1618926111,1618926111,0,0.013960123,0.013960123,,,,,,
105,1618926111,1618926111,0,0.00996995,0.00996995,,,,,,
106,1618926111,1618926111,0,0.011970043,0.011970043,,,,,,
107,1618926111,1618926111,0,0.011969805,0.012969971,,,,,,
108,1618926111,1618926111,0.001000166,0.011970043,0.010969877,,,,,,
109,1618926111,1618926111,0,0.012959957,0.012959957,,,,,,
110,1618926111,1618926111,0,0.011970043,0.011970043,,,,,,
111,1618926111,1618926111,0,0.015959978,0.015959978,,,,,,
112,1618926111,1618926111,0,0.028920174,0.028920174,,,,,,
